F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
3.5,2.65,1,0.4,0,0,0.15,0,1,5.5,0,3,2,2,1,0.25,0.065,0.125,0,0,0.060112682
5.5,2.25,0,0,3.083,0.45,0.15,1,0,3.5,1,3,1,2,1,0.25,0.065,0.125,0,0,0.102861785
2.8,2.4,0,0,1.845,0.55,0.25,0,1,6,0,3,2,1,1,0.215,0.065,0.105,1,1,0.071177037
6,2.4,0,0,1.845,0.55,0.25,1,0,2.8,1,3,1,1,1,0.215,0.065,0.105,1,1,0.128434826
8.7,3.6,1,0.5,4.585,0.95,0.23,1,3,10.7,1,3,2,2,1,0.215,0.065,0.105,1,1,0.130586566
10.7,3.1,0,0,4.505,0.95,0.23,3,1,8.7,3,3,1,2,1,0.215,0.065,0.105,1,1,0.132809036
4.4,2.1,0,0,0.5,0.65,0.15,0,0,4,0,3,1,2,1,0.3,0.11,0.15,0,0,0.091697298
4,2.5,1,0.3,3.6524,0.3,0.15,0,0,4.4,0,3,2,2,1,0.3,0.11,0.15,0,0,0.099673771
8,4.3,1,1.3,2.85,1.2,0.12,1,4,12.1,2,3,2,2,1,0.25,0.055,0.09,0,0,0.153364972
12.1,3,0,0,5.715,1.1,0.12,3,4,8,2,3,1,2,1,0.25,0.055,0.09,0,0,0.124951455
3.55,2.7,0,0,0,0,0.23,0,1,8.65,0,3,2,2,1,0.23,0.07,0.115,1,1,0.109693375
8.65,2.8,0,0,3.528,0.9,0.23,1,0,3.55,1,3,1,2,1,0.23,0.07,0.115,1,1,0.10929471
8,3.2,1,1.2,1.89,0.75,0.18,1,3,10.7,1,3,2,1,1,0.23,0.075,0.15,1,1,0.106699124
10.7,2.7,0,0,5.49,0.75,0.18,2,1,8,3,3,1,1,1,0.23,0.075,0.15,1,1,0.15249846
10.5,3.4,1,1.25,4.8,0.9,0.25,1,2,10.5,1,3,2,1,1,0.26,0.08,0.13,1,1,0.068271887
