System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
1,1975,4,221,884,25.4,3,3,1,2,2,2,2,2,2,1,4,1,0.11,1,3.0058,0.0919,2
1,1980,4,222,888,33.87,2.9,2.8,2,2,2,2,2,2,2,3,4,1.036,0.15,2,2.2568,0.0791,2
1,1991,4,248,992,50.1,2.8,2.8,2,2,2,2,2,2,2,1,4,1,0.2,1,1.7177,0.0689,2
2,1985,6,152.5,915,10.95,2.8,2.7,2,2,2,2,2,2,2,3,3,1.037,0.07,2,1.6903,0.0436,2
1,1985,6,120.5,723,14.52,2.6,2.7,2,2,2,2,2,2,2,4,2,0.963,0.12,1,1.2075,0.0369,2
1,1989,5,137,685,16.92,2.6,2.7,2,2,2,2,2,1,2,3,3,0.963,0.12,2,2.2151,0.0878,2
1,1996,4,239,956,26.82,2.9,2.9,2,2,2,2,2,2,2,2,0,1,0.11,1,1.9386,0.1279,3
2,1993,6,146,876,31.02,3.25,2.65,1,2,2,2,2,1,2,4,2,1.226,0.21,1,1.3034,0.1003,2
1,1995,4,187,748,44.31,3.6,2.8,1,2,2,1,1,1,2,3,3,1.286,0.24,2,2.0351,0.1787,2
1,1998,4,401,1604,66.08,2.85,2.85,1,2,2,1,2,2,2,2,8,1,0.16,1,1.9959,0.0852,2
1,1996,5,340,1700,72.56,3.3,2.7,1,2,1,2,2,1,2,4,3,1.222,0.21,1,2.2539,0.2122,1
1,1996,5,163,815,0,2.8,2.8,1,2,2,2,2,2,2,2,2,1,0,1,2.2748,0.1215,2
1,1991,4,100,400,5.78,2.75,2.75,1,2,2,2,2,2,2,1,2,1,0.06,1,3.7179,0.1841,2
1,1991,5,330,1927,0,3.15,2.75,1,2,2,2,2,1,2,4,6,1.145,0,3,1.4357,0.1319,2
1,1985,5,253,1265,0,3.2,2.8,2,2,2,2,2,1,2,3,6,1.143,0,2,2.3874,0.2073,1
1,1985,5,170,850,0,3.2,2.8,2,2,2,2,2,1,2,2,4,1.143,0,1,2.0196,0.2338,1
1,1978,5,283,1415,11.7,3.2,2.6,2,2,2,2,2,1,2,4,2,1.231,0.04,1,1.9583,0.1374,2
1,1997,5,420,2100,33.06,3.6,2.9,2,2,2,2,2,1,2,4,4,1.241,0.08,2,1.7312,0.0686,1
1,1973,4,196,784,17.38,3.3,2.7,2,2,2,2,2,1,2,2,4,1.222,0.09,1,1.8861,0.0594,2
1,1985,4,107,428,8.03,2.7,2.7,2,2,2,2,2,2,2,3,2,1,0.08,1,2.9984,0.1215,1
1,1982,4,251,1004,30.86,3.1,2.7,2,2,2,2,2,1,2,3,4,1.148,0.12,2,1.9612,0.0579,2
2,1997,4,377,1508,27.24,3.1,2.7,2,2,2,1,2,1,2,4,2,1.148,0.07,1,3.1123,0.0959,2
2,1995,5,311.5,1557.5,26.98,3.1,2.7,1,2,2,1,2,1,2,2,2,1.148,0.09,1,1.8444,0.056,2
1,1985,5,103,515,16.65,3.1,2.7,1,2,2,2,2,1,2,2,2,1.148,0.16,1,2.1359,0.0781,2
2,1985,4,650,2600,30.8,2.7,2.7,2,2,2,2,2,2,2,3,6,1,0.05,1,2.4108,0.3284,2
2,1980,4,474,1896,72.02,2.7,2.7,2,2,2,2,2,1,2,2,4,1,0.15,1,2.5712,0.537,2
1,1985,4,435,1740,59.35,2.7,2.7,2,2,2,2,2,1,2,3,6,1,0.14,2,1.8707,0.0595,1
1,1986,4,437,1748,50.8,2.7,2.7,2,2,2,2,2,2,2,4,3,1,0.12,1,2.3758,0.1027,2
1,1986,4,418,1672,65,2.7,2.7,2,2,2,2,2,2,2,4,3,1,0.16,1,2.126,0.0896,2
1,1995,4,176.5,706,16.26,3.6,2.7,2,2,2,2,2,1,2,6,2,1.333,0.09,1,2.1787,0.0675,2
1,1996,4,230,920,23.89,2.7,2.7,2,2,2,2,2,2,2,3,0,1,0.1,1,1.8659,0.0701,1
1,1995,3,203,609,20.64,2.7,2.7,2,2,2,2,2,2,2,2,4,1,0.1,1,3.6546,0.1083,1
2,1992,4,542,2168,111.47,2.7,2.7,2,2,2,1,2,1,2,1,3,1,0.21,1,1.9521,0.1042,2
1,1998,4,468,1872,73.24,2.7,2.7,2,2,2,2,2,2,2,4,2,1,0.16,1,2.485,0.1915,2
1,1996,4,98,392,3.68,3.3,2.7,2,2,2,2,2,1,2,2,2,1.222,0.04,1,2.5689,0.1175,1
2,1992,4,96.5,386,2.03,2.7,2.7,1,2,2,1,2,2,2,3,2,1,0.02,1,1.997,0.1088,1
1,1992,4,125,500,4.94,2.7,2.7,2,2,2,2,2,1,2,3,2,1,0.04,1,2.8024,0.1164,1
1,1994,4,376,1504,8.4,3.55,2.85,1,2,2,2,2,1,2,3,6,1.246,0.02,2,2.6008,0.1091,1
2,1992,5,523,2998,0,3.2,2.8,1,2,2,1,2,1,1,3,4,1.143,0,1,1.6261,0.0873,2
2,1997,5,225,1125,16.38,2.7,2.7,1,2,2,2,2,2,2,2,3,1,0.07,1,2.4524,0.2078,2
1,1989,4,392,1568,41.82,2.8,2.8,2,2,2,2,2,2,2,2,4,1,0.11,1,2.102,0.0891,2
1,1990,5,397,1985,13.7,3.55,2.75,2,2,2,2,2,1,2,4,8,1.291,0.03,3,2.2732,0.1134,2
1,1994,6,310,1860,64.56,2.3,2.8,2,2,2,2,2,2,2,2,4,0.821,0.21,1,2.2294,0.0878,2
1,1997,3,321,963,59.32,2.7,2.7,2,2,2,2,2,2,2,3,2,1,0.18,1,2.8062,0.0984,1
1,1980,5,437,2185,35.26,2.55,2.7,2,2,2,2,2,2,2,5,4,0.944,0.08,2,1.9658,0.107,0
2,1993,4,363,1452,53.13,2.7,2.7,1,2,1,2,2,2,2,0,4,1,0.15,1,3.1155,0.273,2
2,1990,5,159,954,0,2.9,2.9,2,2,2,2,2,1,2,3,6,1,0,3,1.3933,0.222,0
1,1991,5,51,306,0,3.2,2.8,2,1,2,2,2,1,2,6,2,1.143,0,3,2.1218,0.0311,0
1,1991,5,221,1255,0,3.2,2.8,2,1,2,2,2,1,2,2,2,1.143,0,1,1.857,0.0653,0
1,1994,5,42,230,9.12,2.9,2.6,1,1,2,2,2,1,2,3,2,1.115,0.22,2,2.2609,0.2212,2
2,1984,5,155,870,10.24,2.9,2.6,1,1,2,1,2,1,2,3,5,1.115,0.07,3,3.4356,0.2174,2
1,1985,5,100,600,0,2.6,2.8,2,2,2,2,2,2,2,2,6,0.929,0,2,1.41,0.013,1
1,1985,5,388,2207,11.1,2.6,2.8,2,2,2,2,2,2,2,5,6,0.929,0.03,3,1.7535,0.0778,1
1,1993,5,184,920,0,3.2,2.8,1,2,2,1,2,1,2,1,3,1.143,0,1,1.8725,0.0412,2
2,1995,5,202,1010,11.41,3.4,2.8,2,2,2,2,2,1,2,2,4,1.214,0.06,1,1.9129,0.1365,2
1,1982,5,221,1105,6.81,3.3,2.7,2,2,2,2,2,1,2,2,4,1.222,0.03,1,1.9589,0.1793,2
2,1992,5,357,1785,43.44,3.3,2.7,1,2,2,2,2,1,2,4,2,1.222,0.12,1,1.9422,0.0966,2
1,1982,3,104,312,8.64,2.7,2.7,2,2,2,2,2,2,2,4,4,1,0.08,3,3.688,0.0709,1
2,1996,5,99,495,12.84,3.4,2.7,1,2,2,2,2,1,2,4,2,1.259,0.13,1,1.3562,0.2778,3
1,1990,5,116,580,10.02,3.4,2.7,2,2,2,2,2,1,2,3,3,1.259,0.09,2,1.7793,0.0466,1
2,1995,4,640,2560,43.3,3.5,2.7,1,2,1,2,2,1,2,3,5,1.296,0.07,1,2.2432,0.1249,3
1,1972,4,131,493,4.5,3.5,2.7,1,2,2,1,2,1,2,3,3,1.296,0.03,2,2.2868,0.0463,0
2,1980,5,488,2440,20.4,2.6,2.6,2,2,1,2,2,1,2,0,0,1,0.04,1,2.5485,0.7946,2
