No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
0.5,0.18,0.33,0,0.38,0.018,3
0.5,0.21,0.44,1,0.28,0.015,3
0.5,0.18,0.58,0,0.21,0.013,3
1,0.21,0.21,1,0.2,0.008,3
1,0.15,0.34,0,0.14,0.007,3
0.75,0.15,0.35,1,0.27,0.017,3
0.5,0.18,0.32,0,0.24,0.025,4
1,0.37,0.61,0,0.15,0.019,3
0.5,0.42,0.68,1,0.25,0.035,3
0.5,0.18,0.47,0,0.24,0.016,3
0.75,0.37,0.61,0,0.28,0.042,2
0.75,0.18,0,0,0.28,0.023,3
0.5,0.18,0.17,0,0.48,0.036,3
0.75,0.31,0,1,0.17,0.026,3
0.75,0.3,0,1,0.3,0.041,2
0.75,0.3,0,0,0.25,0.046,2
0.75,0.38,0.12,0,0.24,0.027,3
0.75,0.39,0.22,1,0.21,0.013,2
0.5,0.37,0.25,0,0.23,0.011,3
0.5,0.18,0.21,0,0.38,0.023,2
0.5,0.31,0.35,1,0.24,0.011,3
0.5,0.31,0.21,0,0.4,0.018,3
0.75,0.31,0.25,0,0.22,0.01,3
0.75,0.31,0.46,0,0.26,0.015,3
0.5,0.18,0.14,0,0.3,0.065,3
0.5,0.18,0.43,0,0.32,0.107,3
0.5,0.18,0.39,1,0.23,0.011,2
0.5,0.18,0.33,0,0.3,0.02,3
0.5,0.18,0.44,0,0.26,0.017,3
0.5,0.47,0.26,0,0.27,0.013,3
0.5,0.18,0.3,0,0.23,0.013,2
0.25,0.18,0.29,0,0.47,0.021,2
0.5,0.18,0.59,0,0.24,0.02,3
0.5,0.18,0.45,0,0.31,0.038,3
0.5,0.37,0.11,0,0.32,0.023,2
0.5,0.18,0.06,0,0.24,0.021,2
0.5,0.18,0.11,0,0.36,0.022,2
0.5,0.39,0.06,1,0.33,0.021,2
0.75,0.3,0,0,0.19,0.017,3
0.75,0.18,0.21,0,0.31,0.041,3
0.5,0.18,0.3,0,0.26,0.017,3
0.75,0.43,0.1,1,0.28,0.022,3
1,0.03,0.6,0,0.28,0.017,3
0.25,0.18,0.53,0,0.36,0.019,2
0.75,0.13,0.23,1,0.24,0.021,1
0.5,0.18,0.42,0,0.4,0.054,3
0.75,0.18,0,1,0.16,0.044,1
0.75,0.3,0,1,0.26,0.005,1
0.75,0.3,0,0,0.23,0.012,1
0.75,0.28,0.62,1,0.28,0.044,3
0.75,0.28,0.19,1,0.44,0.043,3
0.75,0.12,0,1,0.16,0.002,2
0.75,0.12,0.08,1,0.21,0.015,2
0.75,0.3,0,0,0.23,0.007,3
0.75,0.36,0.16,0,0.23,0.027,3
0.75,0.37,0.09,0,0.24,0.035,3
0.75,0.37,0.35,0,0.24,0.018,3
0.25,0.18,0.24,1,0.48,0.013,2
0.75,0.4,0.37,0,0.16,0.055,4
0.75,0.4,0.25,1,0.21,0.008,2
0.5,0.43,0.19,0,0.28,0.024,4
0.5,0.43,0.1,1,0.28,0.008,1
0.75,0.18,0.12,0,0.32,0.159,3
0.5,0.18,0,0,0.36,0.016,3
0.5,0.18,0.3,0,0.34,0.049,3
0.5,0.18,0.33,0,0.31,0.026,2
0.5,0.18,0.57,0,0.31,0.025,3
0.75,0.43,0.56,0,0.28,0.038,1
0.75,0.31,0.23,1,0.2,0.008,3
0.75,0.31,0.19,1,0.19,0.011,2
0.75,0.47,0.43,0,0.26,0.015,2
0.75,0.38,0.73,0,0.22,0.027,3
0.25,0.47,0.38,0,0.34,0.028,4
0.75,0.4,0.22,0,0.22,0.038,4
0.25,0.18,0.51,0,0.64,0.08,3
0.5,0.18,0.38,0,0.32,0.024,3
0.75,0.18,0.41,0,0.21,0.009,4
0.25,0.18,0.63,1,0.27,0.035,3
0.5,0.18,0.17,1,0.35,0.028,2
0.5,0.18,0.33,1,0.23,0.013,2
0.75,0.15,0.11,0,0.25,0.015,3
0.75,0.18,0.37,0,0.29,0.02,3
0.75,0.33,0.22,1,0.23,0.033,3
0.5,0.33,0.08,0,0.19,0.008,3
0.75,0.4,0.2,1,0.2,0.011,3
0.75,0.12,0,1,0.26,0.015,3
0.5,0.47,0.44,0,0.35,0.016,3
0.75,0.33,0.2,1,0.27,0.013,2
0.5,0.18,0.19,1,0.3,0.013,3
0.5,0.18,0.49,1,0.34,0.039,3
0.5,0.18,0.16,0,0.42,0.053,3
0.75,0.18,0.02,0,0.23,0.017,3
0.75,0.33,0.44,0,0.22,0.019,4
0.5,0.18,0.38,0,0.14,0.003,3
