Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
A-10-EKS-21,0.5,0.18,0.33,0,0.38,0.018,3
A-11-EKS-22,0.5,0.21,0.44,1,0.28,0.015,3
A-11-EKS-23,0.5,0.18,0.58,0,0.21,0.013,3
A-12-EKS-24,1,0.21,0.21,1,0.2,0.008,3
A-12-EKS-25,1,0.15,0.34,0,0.14,0.007,3
A-12-EKS-26,0.75,0.15,0.35,1,0.27,0.017,3
A-13-EKS-27,0.5,0.18,0.32,0,0.24,0.025,4
A-14-EKS-28,1,0.37,0.61,0,0.15,0.019,3
A-15-EKS-29,0.5,0.42,0.68,1,0.25,0.035,3
A-16-EKS-30,0.5,0.18,0.47,0,0.24,0.016,3
A-17-EKS-31,0.75,0.37,0.61,0,0.28,0.042,2
A-18-EKS-33,0.75,0.18,0,0,0.28,0.023,3
A-19-EKS-34,0.5,0.18,0.17,0,0.48,0.036,3
A-1-EKS-1,0.75,0.31,0,1,0.17,0.026,3
A-1-EKS-12-A,0.75,0.3,0,1,0.3,0.041,2
A-1-EKS-12-B,0.75,0.3,0,0,0.25,0.046,2
A-1-EKS-2,0.75,0.38,0.12,0,0.24,0.027,3
A-1-EKS-6,0.75,0.39,0.22,1,0.21,0.013,2
A-20-EKS-35,0.5,0.37,0.25,0,0.23,0.011,3
A-20-EKS-36,0.5,0.18,0.21,0,0.38,0.023,2
A-20-EKS-37,0.5,0.31,0.35,1,0.24,0.011,3
A-21-EKS-38,0.5,0.31,0.21,0,0.4,0.018,3
A-22-EKS-39,0.75,0.31,0.25,0,0.22,0.01,3
A-23-EKS-40,0.75,0.31,0.46,0,0.26,0.015,3
A-24-EKS-43,0.5,0.18,0.14,0,0.3,0.065,3
A-25-EKS-44,0.5,0.18,0.43,0,0.32,0.107,3
A-26-EKS-45,0.5,0.18,0.39,1,0.23,0.011,2
A-26-EKS-53,0.5,0.18,0.33,0,0.3,0.02,3
