Floor No.,Total Floor Area,Column Area,Concrete Wall Area(NS),Concrete Wall Area(EW),Masonry Wall Area(NS),Masonry Wall Area(EW),Captive Columns,Damage
2,1797,6.21,0,0,0,9.49,1,1
1,577,2,0,0,0,1.68,0,3
3,498,1.5,0,0,1.35,0.4,0,3
2,310,1.4,0,0,1.02,0,0,3
3,287,0.74,0,0,3.74,1.74,1,1
2,291,0.63,0,0,2.2,3.01,0,1
2,449,0.75,0,0,2.55,3.6,0,2
2,1548,6.46,0,0,5.43,4.34,1,1
2,340,1.16,0,0,5.7,3.09,0,1
2,587,2.61,0,0,4.35,2.12,1,3
1,253,2.33,0,0,1.65,1.19,1,1
2,555,3.23,0,0,0,3.92,1,2
3,838,3.26,0,0,8.32,2.33,1,1
2,1114,3.12,0,0,0,5.7,0,3
2,258,0.41,0,0,3.01,6.22,0,3
2,645,2.99,0,0,7.24,6.19,0,3
2,234,1.41,0,0,1.78,0.84,0,1
2,514,0.7,0,0,4.6,3.74,0,3
2,449,1.03,0,0,0.27,5.8,0,3
2,281,1.34,0,0,1.1,3.08,0,3
2,287,0.6,0,0,1.58,3.94,0,3
3,1934,5.72,0,0,6.52,10.28,0,3
2,192,1.2,0,0,1.59,0,1,3
2,336,1.84,0,0,0,1.86,1,2
2,235,1.32,0,0,0.4,4.39,1,2
4,2090,3.74,0,0,8.13,12.1,0,3
4,1672,2.51,0,0,6.46,6.98,1,1
1,397,4.02,0,0,3.94,4.87,1,2
2,1004,4.99,0,0,10.31,4.2,1,1
2,1422,6.66,0,0,6.95,3.52,1,1
3,769,2.92,0,0,5.8,2.17,1,3
4,1774,5.02,0,0,5.7,0,1,1
3,683,2.39,0,0,5.15,5.9,1,2
3,766,2.66,0,0,3.21,0,1,1
4,1462,5.32,0,0,3.4,2.22,1,2
2,1895,6.21,0,0,0,16.52,1,1
1,798,2.82,0,0,0,4.55,1,3
3,1137,2.39,0,0,1.99,1.13,1,3
2,318,1.27,0,0,1.89,2.47,0,3
1,356,2.67,0,0,0,2.42,0,1
2,446,0.44,0,0,0,0,0,3
3,404,1.42,0,0,0,3.13,1,1
2,325,1.24,0,0,1.94,0.99,1,1
2,1129,3.51,0,0,0,2.2,1,1
2,676,2.94,0,0,3.5,0,1,2
3,407,1.34,0,0,2.08,0,1,1
2,466,3.8,0,0,0,5.53,1,3
3,700,3.8,0,0,0,5.53,1,2
2,170,0.47,0,0,1.83,0.82,0,3
2,149,0.51,0,0,1.45,0,1,1
1,213,1.98,0,0,0.85,3.57,0,2
2,145,0.63,0,0,3.79,0.04,0,1
2,180,0.6,0,0,3.31,0.58,0,1
2,540,1.03,0,0,2.82,4.22,1,1
1,172,0.81,0,0,0.59,0,0,3
2,714,1.97,0,0,1.16,0,1,1
3,632,3.79,0,0,0,3.63,0,1
3,447,1.27,0,0,0,2.71,1,3
3,351,1.27,0,0,2.8,0,1,3
3,367,1.04,0,0,1.06,0,1,3
4,3216,7.05,0,0,21.41,15.85,0,1
4,771,2.15,0,0,0,0.11,1,1
3,1479,2.5,0,0,1.81,13.02,1,2
3,762,3.5,0,0,0,1.16,1,1
4,874,4.67,0,0,3.1,2.67,0,2
4,578,3.92,0,0,2.48,1.6,0,3
2,1934,4.65,0,0,19.81,28.27,1,2
2,1934,4.65,0,0,27.53,28.27,1,3
3,1042,3.21,0,0,5.63,7.44,1,3
2,503,1.25,0,0,3.16,6.7,0,3
2,586,0.65,0,0,1.91,1.74,1,3
2,516,0.76,0,0,1.4,2.33,1,3
2,221,1.94,0,0,1.08,5.38,1,3
2,260,0.07,0,0,1.13,18.19,1,1
2,267,1.2,0,0,2.79,4.28,1,3
2,133,0.6,0,0,2.15,1.92,1,1
2,508,0.11,0,0,3.72,5.49,1,1
2,350,0.23,0,0,5.21,6.14,1,1
5,1686,3.91,0,0,6.23,0,1,1
2,120,0.47,0,0,2.14,2.79,1,1
2,299,0.62,0,0,2.98,2.17,1,1
2,132,1.15,0,0,1.81,0.47,1,3
2,164,0.58,0,0,2.33,1.13,1,1
2,502,1.08,0,0,3.58,4.82,1,3
1,181,0.89,0,0,2.06,2.21,1,3
2,254,0.29,0,0,2.59,4.88,1,1
2,377,1.3,0,0,4.16,0.76,1,1
3,187,0.77,0,0,3.07,5.3,0,3
1,299,0.93,0,0,5.86,5.12,1,3
2,78,0.36,0,0,1.86,0.84,1,3
2,635,1.54,0,0,3.89,5.26,0,1
2,1127,3.41,0,0,7.25,0,1,3
3,193,0.64,0,0,2.22,0.64,0,3
2,514,0.77,0,0,1.92,1.74,1,3
2,1382,1.53,0,0,3.05,5.64,1,3
2,393,1.65,0,0,4.65,3.44,1,3
3,848,2.68,0,0,4.65,1.09,1,2
2,237,0.42,0,0,1.26,0.3,1,1
3,191,0.71,0,0,5.95,1.02,1,3
3,502,2.33,0,0,2.51,5.58,0,3
3,1356,3.26,0,0,5.12,5.67,0,2
2,2095,4.81,0,0,2.27,4.42,0,3
3,1825,3.96,0,0,2.61,5,0,3
4,2120,3.75,0,0,1.49,9.07,1,2
2,1583,6.22,0,0,0,13.89,1,1
1,160,0.28,0,0,0,5.36,0,3
1,419,3.98,0,0,0,4.34,0,1
1,531,4.76,0,0,4.84,12.12,0,2
1,419,3.98,0,0,0,4.34,0,1
3,402,2.93,0,0,0,4.46,1,3
2,654,2.88,0,0,0,6.82,0,3
2,211,2.31,0,0,1.74,1.74,0,2
2,150,0.17,0,0,2.54,8.06,0,1
2,274,1.4,0,0,0.34,2.82,0,3
2,216,0.28,0,0,0,2.56,1,1
2,134,0.84,0,0,0,0.59,1,1
2,370,1.4,0,0,4.39,1.07,1,3
2,203,0.28,0,0,1.07,1.07,1,3
2,207,2,0,0,0,1.12,1,3
2,423,2.87,0,0,0,10.11,1,3
3,636,3.28,0,0,3.22,0.67,1,1
2,275,0.29,0,0,5.5,9.46,1,3
2,180,0.12,0,0,4.83,9.95,0,3
2,96,0,0,0,2.95,1.47,0,1
3,751,4.09,0,0,5.12,12.56,0,2
2,99,0,0,0,3.23,2.71,0,3
