"No. 
Floors",Total Floor Area [m^2],Column Area [m^2],Concrete Wall Area (NS) [m^2],Concrete Wall Area (EW) [m^2],Masonry Wall Area (NS) [m^2],Masonry Wall Area (EW) [m^2],"Captive
Columns",Damage
6,1736,4.99,0,0,5.34,3.19,1,1
2.5,219,0.84,0,0,0,0,1,1
2,159,0.84,0,0,4.15,0.72,1,1
2,159,0.84,0,0,4.15,0.72,1,1
3,201,0.84,0,0,2.21,0,1,1
2.5,177,0.84,0,0,4.34,0,1,1
5.5,440,0.84,0,0,3.28,0.21,0,4
6,710,1.24,0,0,0.79,0.93,0,2
3,461,1.7,0,0,9.6,7.54,0,1
5,443,1.21,0,0,0.73,2.15,0,2
4.5,1225,1.62,0,0,2.23,0.34,0,4
4,479,0.84,0,0,8,1.74,0,4
3.5,1859,5.02,0,0,3.06,17.02,1,4
6,377,1.05,0,0,2.66,0.31,0,1
4,408,1.74,0,0,4.73,1.23,0,3
4,424,2.23,0,0,5.75,1.93,0,3
4,352,1.05,0,0,5.39,4.45,0,4
3,106,0.84,0,0,0.82,0,0,1
5.5,715,0.94,0,0,3.48,0,0,4
6,834,1.41,0,0,5.4,1.35,0,4
5.5,299,0.77,0,0,2.62,2.74,0,4
4.5,234,0.63,0,0,1.89,2.21,0,2
5.5,789,1.86,0,0,0,0,0,4
4.5,338,1.39,0,0,2.73,1.44,0,4
7.5,946,1.11,0,0,1.72,4.61,0,4
4.5,290,0.57,0,0,6,2.33,0,3
6,1498,2.3,0,0,4.16,1.11,0,4
4,403,1.05,0,0,3.47,0,0,1
5.5,870,1.46,0,0,8.9,0,0,4
6,486,0.84,0,0,2.64,0.3,0,4
5,418,0.84,0,0,4.73,0.31,0,4
5,801,1.33,0,0,3.05,0,0,4
6,729,1.25,0,0,5.14,0.49,1,2
5.5,248,0.63,0,0,1.1,1.12,0,2
5.5,510,1.11,0,0,5.28,1.85,0,1
5,496,1.11,0,0,6.99,0,0,4
3.5,369,0.78,0,0,0,1.73,1,4
3,306,0.78,0,0,4.13,0,1,3
5.5,532,1.05,0,0,7.71,1.34,1,1
6.5,818,1.25,0,0,3.72,0.55,1,4
6.5,818,1.25,0,0,3.72,0.55,1,4
6.5,1623,2.3,0,0,4.46,1.11,1,4
3,160,1.03,0,0,0,0,0,4
5.5,478,0.77,0,0,3.87,0,0,3
4,1752,3,0,0,8.41,4.68,0,1
5,495,1.24,0,0,5.87,0.97,0,2
7,771,1.04,0,0,1.69,3.06,0,4
1.5,147,1.67,0,0,4.18,2.55,0,1
3,371,1.08,0,0,2.79,5.25,0,1
6,1498,2.3,0,0,4.29,1.11,0,4
3.5,207,1.02,0,0,2.23,3.76,0,4
3.5,232,0.63,0,0,5.31,2.97,0,4
3.5,447,1.01,0,0,6.04,2.88,0,4
3.5,211,0.63,0,0,1.35,0.84,0,2
3.5,170,0.84,0,0,2.74,1.68,0,4
3.5,75,0.42,0,0,0,0.82,0,4
3,110,0.63,0,0,1.34,0,0,2
3,168,0.77,0,0,4.41,1.38,1,2
4,298,0.84,0,0,4.31,3.73,1,2
3,176,0.63,0,0,1.9,0,1,4
4,253,0.91,0,0,2.38,0.62,1,4
4,322,1.11,0,0,7.15,0.6,1,1
2,121,0.63,0,0,1.77,0.75,0,2
6,634,1.18,0,0,1.55,0,0,4
4.5,249,0.63,0,0,2.57,0.2,1,4
5.5,1482,2.23,0,0,4.18,0,1,4
2.5,301,1.18,0,0,2.46,1.5,0,1
3.5,219,0.57,0,0,2.79,0,0,1
3,190,0.63,0,0,3.75,1.36,0,1
